Category,Rank,Review ID,File,Source Path,Width,Height,Bytes,Selection Note
"01 - Food & Beverage","12","1458","12 - 1458 - Bolty.png","D:\Recovery\Work\Privet\نهر النيل\Bolty.png","2000","2000","5359237","Strong composition, appetizing art direction, and campaign-ready presentation."
"02 - Automotive","1","233","01 - 0233 - سلك بوجيهات.png","D:\Recovery\Work\Old\Basma\احمد الصعيدي\سلك بوجيهات.png","1024","1024","1597776","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","2","234","02 - 0234 - سنييين.jpg","D:\Recovery\Work\Old\Basma\احمد الصعيدي\سنييين.jpg","2000","2000","731787","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","3","238","03 - 0238 - قطع غيار.png","D:\Recovery\Work\Old\Basma\احمد الصعيدي\قطع غيار.png","1024","1024","1082319","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","4","240","04 - 0240 - air bag.jpg","D:\Recovery\Work\Old\Basma\احمد الصعيدي\air bag.jpg","2000","2000","823460","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","5","244","05 - 0244 - المساعدين.jpg","D:\Recovery\Work\Old\Basma\المساعدين.jpg","1024","1024","270814","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","6","1486","06 - 1486 - Post 3.jpg","D:\Recovery\Work\Privet\Armor protction\Post 3.jpg","1080","1440","216172","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","7","1490","07 - 1490 - post 7.jpg","D:\Recovery\Work\Privet\Armor protction\post 7.jpg","1080","1440","279702","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","8","1491","08 - 1491 - POST 8.jpg","D:\Recovery\Work\Privet\Armor protction\POST 8.jpg","1080","1440","280107","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","9","1492","09 - 1492 - Post 9.jpg","D:\Recovery\Work\Privet\Armor protction\Post 9.jpg","1080","1440","378894","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","10","2551","10 - 2551 - LYNK & Co 08.jpg","D:\Recovery\Work\Privet\TOLBA MOTORS\LYNK & Co 08.jpg","1080","1440","288501","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","11","2556","11 - 2556 - LYNK & Co 08 Green.jpg","D:\Recovery\Work\Privet\TOLBA MOTORS\Round 1\LYNK & Co 08 Green.jpg","1080","1440","269176","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"02 - Automotive","12","2565","12 - 2565 - ROX ADAMAS.jpg","D:\Recovery\Work\Privet\TOLBA MOTORS\Round 2\ROX ADAMAS.jpg","1080","1440","410013","High-impact automotive art direction, clear hierarchy, and polished commercial finish."
"03 - Tech & Electronics","1","1496","01 - 1496 - FB.png","D:\Recovery\Work\Privet\ON SPOT\01 - Jan\17 Silver\FB.png","1500","1500","351226","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","2","1498","02 - 1498 - FB.png","D:\Recovery\Work\Privet\ON SPOT\01 - Jan\Air M2\FB.png","1500","1500","590669","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","3","1508","03 - 1508 - FB.png","D:\Recovery\Work\Privet\ON SPOT\01 - Jan\Are you a 14 user\FB.png","1500","1500","548670","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","4","1514","04 - 1514 - FB.png","D:\Recovery\Work\Privet\ON SPOT\01 - Jan\Fast Glass\FB.png","1500","1500","703752","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","5","1527","05 - 1527 - FB 1.png","D:\Recovery\Work\Privet\ON SPOT\01 - Jan\Max\FB 1.png","1500","1500","598149","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","6","1579","06 - 1579 - FB.png","D:\Recovery\Work\Privet\ON SPOT\02- Fab\Airpods Pro 3\Aura\FB.png","1500","1500","419492","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","7","1585","07 - 1585 - FB.png","D:\Recovery\Work\Privet\ON SPOT\02- Fab\Apple PEn\FB.png","1500","1500","1307857","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","8","1603","08 - 1603 - FB copy.png","D:\Recovery\Work\Privet\ON SPOT\02- Fab\Macbook Pro M5\FB copy.png","1500","1500","506010","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","9","1613","09 - 1613 - FB 2.png","D:\Recovery\Work\Privet\ON SPOT\02- Fab\Pre-Owned\FB\FB 2.png","1500","1500","522163","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","10","1647","10 - 1647 - Series 10.png","D:\Recovery\Work\Privet\ON SPOT\02- Fab\Watch\FB\Series 10.png","1500","1500","541906","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","11","1802","11 - 1802 - Post.jpg","D:\Recovery\Work\Privet\ON SPOT\05 - May\Full serviec\Post.jpg","1080","1350","226180","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","12","1807","12 - 1807 - Post.jpg","D:\Recovery\Work\Privet\ON SPOT\05 - May\Precision Repair\Post.jpg","1080","1350","225042","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","13","2059","13 - 2059 - Design 10.png","D:\Recovery\Work\Privet\ON SPOT\Design 10.png","1024","1280","307430","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","14","2075","14 - 2075 - VIdeo Cover 4.png","D:\Recovery\Work\Privet\ON SPOT\Done\VIdeo Cover 4.png","1024","1280","573703","Premium product presentation, consistent lighting, and strong visual hierarchy."
"03 - Tech & Electronics","15","2101","15 - 2101 - Post 2.jpg","D:\Recovery\Work\Privet\ON SPOT\New Diriction\New\Plan\Repair\Facebook\Post 2.jpg","1024","1024","99965","Premium product presentation, consistent lighting, and strong visual hierarchy."
"04 - Mobile Repair Campaigns","1","2433","01 - 2433 - الشاشة سوداا.jpg","D:\Recovery\Work\Privet\Refresh\الشاشة سوداا.jpg","1024","1024","205315","Clear problem-solution storytelling with cohesive campaign branding."
"04 - Mobile Repair Campaigns","2","2437","02 - 2437 - الصوره مغبشه.jpg","D:\Recovery\Work\Privet\Refresh\الصوره مغبشه.jpg","1024","1024","207778","Clear problem-solution storytelling with cohesive campaign branding."
"04 - Mobile Repair Campaigns","3","2438","03 - 2438 - الصيانه الحقيقية.jpg","D:\Recovery\Work\Privet\Refresh\الصيانه الحقيقية.jpg","1024","1024","246082","Clear problem-solution storytelling with cohesive campaign branding."
"04 - Mobile Repair Campaigns","4","2449","04 - 2449 - الموبايل بيسخن فجأة؟.png","D:\Recovery\Work\Privet\Refresh\الموبايل بيسخن فجأة؟.png","1024","1024","1185317","Clear problem-solution storytelling with cohesive campaign branding."
"04 - Mobile Repair Campaigns","5","2454","05 - 2454 - إيه أكتر عطل بيجنّنك في موبايلك.png","D:\Recovery\Work\Privet\Refresh\إيه أكتر عطل بيجنّنك في موبايلك.png","1024","1024","1427663","Clear problem-solution storytelling with cohesive campaign branding."
"04 - Mobile Repair Campaigns","6","2456","06 - 2456 - بتخلص بسرعه.jpg","D:\Recovery\Work\Privet\Refresh\بتخلص بسرعه.jpg","1024","1024","245535","Clear problem-solution storytelling with cohesive campaign branding."
"04 - Mobile Repair Campaigns","7","2464","07 - 2464 - بطاريتك بتعلن الاستسلام… وحلّها عندنا.jpg","D:\Recovery\Work\Privet\Refresh\بطاريتك بتعلن الاستسلام… وحلّها عندنا.jpg","1024","1024","226316","Clear problem-solution storytelling with cohesive campaign branding."
"04 - Mobile Repair Campaigns","8","2475","08 - 2475 - جودة وأسرع وقت.jpg","D:\Recovery\Work\Privet\Refresh\جودة وأسرع وقت.jpg","1024","1024","305180","Clear problem-solution storytelling with cohesive campaign branding."
"04 - Mobile Repair Campaigns","9","2493","09 - 2493 - سيب موبيلك ف ايد امينة.jpg","D:\Recovery\Work\Privet\Refresh\سيب موبيلك ف ايد امينة.jpg","1024","1024","174164","Clear problem-solution storytelling with cohesive campaign branding."
"04 - Mobile Repair Campaigns","10","2539","10 - 2539 - Post 4.png","D:\Recovery\Work\Privet\Refresh\Campaign\Post 4.png","1024","1024","1120853","Clear problem-solution storytelling with cohesive campaign branding."
"05 - Education & AI","1","420","01 - 0420 - اتعلم جرب طور.jpg","D:\Recovery\Work\Old\Goglobal\Code Craft\Campaign 1\اتعلم جرب طور.jpg","1024","1024","375692","Distinctive educational concepts with consistent futuristic art direction."
"05 - Education & AI","2","422","02 - 0422 - متخافش من المستقبل.jpg","D:\Recovery\Work\Old\Goglobal\Code Craft\Campaign 1\متخافش من المستقبل.jpg","1024","1024","383574","Distinctive educational concepts with consistent futuristic art direction."
"05 - Education & AI","3","424","03 - 0424 - ازاي الروبوت بياخد قرار.png","D:\Recovery\Work\Old\Goglobal\Code Craft\Posts\ازاي الروبوت بياخد قرار.png","2000","2000","3117023","Distinctive educational concepts with consistent futuristic art direction."
"05 - Education & AI","4","426","04 - 0426 - إزاي تبدأ تبرمج روبوت بخطوات بسيطة؟.jpg","D:\Recovery\Work\Old\Goglobal\Code Craft\Posts\إزاي تبدأ تبرمج روبوت بخطوات بسيطة؟.jpg","2000","2000","766096","Distinctive educational concepts with consistent futuristic art direction."
"05 - Education & AI","5","427","05 - 0427 - إزاي AI بيغيّر قواعد اللعبة في الروبوتات؟.jpg","D:\Recovery\Work\Old\Goglobal\Code Craft\Posts\إزاي AI بيغيّر قواعد اللعبة في الروبوتات؟.jpg","2000","2000","501724","Distinctive educational concepts with consistent futuristic art direction."
"05 - Education & AI","6","429","06 - 0429 - الذكاء الاصطناعي بيعلم الروبوت.png","D:\Recovery\Work\Old\Goglobal\Code Craft\Posts\الذكاء الاصطناعي بيعلم الروبوت.png","2000","2000","2722710","Distinctive educational concepts with consistent futuristic art direction."
"05 - Education & AI","7","431","07 - 0431 - انت الشخص.jpg","D:\Recovery\Work\Old\Goglobal\Code Craft\Posts\انت الشخص.jpg","2000","2000","605334","Distinctive educational concepts with consistent futuristic art direction."
"05 - Education & AI","8","436","08 - 0436 - هل الروبوت عشوائي.jpg","D:\Recovery\Work\Old\Goglobal\Code Craft\Posts\هل الروبوت عشوائي.jpg","2000","2000","536242","Distinctive educational concepts with consistent futuristic art direction."
"06 - Branding & Identity","1","20","01 - 0020 - WhatsApp Image 2026-04-22 at 9.29.35 PM.jpeg","D:\Recovery\Work\Editsbytalaat\WhatsApp Image 2026-04-22 at 9.29.35 PM.jpeg","1254","1254","729140","Strong identity applications, mockups, and recognizable brand systems."
"06 - Branding & Identity","2","601","02 - 0601 - Branded Elements-07.jpg","D:\Recovery\Work\Old\Lime\Beit hady\Branding File\Branding Elements\JPEGS\Branded Elements-07.jpg","3580","2490","657883","Strong identity applications, mockups, and recognizable brand systems."
"06 - Branding & Identity","3","610","03 - 0610 - FM Logo-01.jpg","D:\Recovery\Work\Old\Lime\Beit hady\Branding File\Logo\FM Logo\JPEG\FM Logo-01.jpg","8000","4500","603052","Strong identity applications, mockups, and recognizable brand systems."
"06 - Branding & Identity","4","2853","04 - 2853 - Image_fx (14).jpg","D:\Recovery\Work\Wahj\Clints\NG\2025\6- Jane\New folder\Image_fx (14).jpg","768","1408","1453097","Strong identity applications, mockups, and recognizable brand systems."
"06 - Branding & Identity","5","2854","05 - 2854 - Image_fx (16).jpg","D:\Recovery\Work\Wahj\Clints\NG\2025\6- Jane\New folder\Image_fx (16).jpg","768","1408","1502670","Strong identity applications, mockups, and recognizable brand systems."
"06 - Branding & Identity","6","2860","06 - 2860 - Post 1.jpg","D:\Recovery\Work\Wahj\Clints\NG\2025\6- Jane\Post 1.jpg","2000","2000","510627","Strong identity applications, mockups, and recognizable brand systems."
"06 - Branding & Identity","7","2867","07 - 2867 - Post 9.png","D:\Recovery\Work\Wahj\Clints\NG\2025\6- Jane\Post 9.png","2000","2000","4137437","Strong identity applications, mockups, and recognizable brand systems."
"06 - Branding & Identity","8","2872","08 - 2872 - Post 11.jpg","D:\Recovery\Work\Wahj\Clints\NG\2025\7- July\Post 11.jpg","1024","1024","246962","Strong identity applications, mockups, and recognizable brand systems."
"06 - Branding & Identity","9","2876","09 - 2876 - Post 3.png","D:\Recovery\Work\Wahj\Clints\NG\2025\7- July\Post 3.png","2000","2000","3994316","Strong identity applications, mockups, and recognizable brand systems."
"06 - Branding & Identity","10","2916","10 - 2916 - Logo.jpg","D:\Recovery\Work\Wahj\Clints\NG\New Idinity\Logo.jpg","2000","2000","105063","Strong identity applications, mockups, and recognizable brand systems."
"07 - Travel & Hospitality","1","2601","01 - 2601 - 1.png","D:\Recovery\Work\Privet\Travel\Landlopers\Arabic Post\1.png","1080","1350","990561","Atmospheric destination storytelling and polished hospitality advertising."
"07 - Travel & Hospitality","2","2603","02 - 2603 - 3.png","D:\Recovery\Work\Privet\Travel\Landlopers\Arabic Post\3.png","1080","1350","552035","Atmospheric destination storytelling and polished hospitality advertising."
"07 - Travel & Hospitality","3","2643","03 - 2643 - Nesima.png","D:\Recovery\Work\Privet\Travel\Landlopers\July On\Nesima.png","1080","1350","1160848","Atmospheric destination storytelling and polished hospitality advertising."
"07 - Travel & Hospitality","4","2651","04 - 2651 - Bungalows.png","D:\Recovery\Work\Privet\Travel\Landlopers\Nwuiba\Bungalows.png","1080","1350","2470947","Atmospheric destination storytelling and polished hospitality advertising."
"07 - Travel & Hospitality","5","2652","05 - 2652 - firecamp.png","D:\Recovery\Work\Privet\Travel\Landlopers\Nwuiba\firecamp.png","1080","1350","898593","Atmospheric destination storytelling and polished hospitality advertising."
"07 - Travel & Hospitality","6","2691","06 - 2691 - 1.png","D:\Recovery\Work\Privet\Travel\Landlopers\Personality\1.png","1080","1350","2298448","Atmospheric destination storytelling and polished hospitality advertising."
"07 - Travel & Hospitality","7","2697","07 - 2697 - 7.png","D:\Recovery\Work\Privet\Travel\Landlopers\Personality\7.png","1080","1350","1348278","Atmospheric destination storytelling and polished hospitality advertising."
"07 - Travel & Hospitality","8","2727","08 - 2727 - ChatGPT Image May 16, 2026, 08_03_18 PM.png","D:\Recovery\Work\Privet\Travel\Landlopers\Ticket\ChatGPT Image May 16, 2026, 08_03_18 PM.png","1086","1448","1961599","Atmospheric destination storytelling and polished hospitality advertising."
"07 - Travel & Hospitality","9","2731","09 - 2731 - جبل توايلات.jpg","D:\Recovery\Work\Privet\Travel\Landlopers\Trips\جبل توايلات.jpg","1080","1350","352924","Atmospheric destination storytelling and polished hospitality advertising."
"07 - Travel & Hospitality","10","2733","10 - 2733 - كلرد كانيون.jpg","D:\Recovery\Work\Privet\Travel\Landlopers\Trips\كلرد كانيون.jpg","1080","1350","578879","Atmospheric destination storytelling and polished hospitality advertising."
"08 - Beauty & Healthcare","1","2803","01 - 2803 - Post 1.png","D:\Recovery\Work\Wahj\Clints\شغف\Post 1.png","1254","1254","1751278","Elegant premium styling, structured offers, and coherent clinical branding."
"08 - Beauty & Healthcare","2","2804","02 - 2804 - Cover.jpg","D:\Recovery\Work\Wahj\Clints\Dr.seham\04 - Aprl\Cover.jpg","4920","1890","1310641","Elegant premium styling, structured offers, and coherent clinical branding."
"08 - Beauty & Healthcare","3","2806","03 - 2806 - Post 2+.jpg","D:\Recovery\Work\Wahj\Clints\Dr.seham\04 - Aprl\Post 2+.jpg","2140","2140","395250","Elegant premium styling, structured offers, and coherent clinical branding."
"08 - Beauty & Healthcare","4","2808","04 - 2808 - Post 4.jpg","D:\Recovery\Work\Wahj\Clints\Dr.seham\04 - Aprl\Post 4.jpg","1080","1080","267866","Elegant premium styling, structured offers, and coherent clinical branding."
"08 - Beauty & Healthcare","5","2810","05 - 2810 - Post 6.jpg","D:\Recovery\Work\Wahj\Clints\Dr.seham\04 - Aprl\Post 6.jpg","1254","1254","443231","Elegant premium styling, structured offers, and coherent clinical branding."
"08 - Beauty & Healthcare","6","2812","06 - 2812 - العيد.jpg","D:\Recovery\Work\Wahj\Clints\Dr.seham\05- May\العيد.jpg","1254","1254","514768","Elegant premium styling, structured offers, and coherent clinical branding."
"08 - Beauty & Healthcare","7","2817","07 - 2817 - 1.jpg","D:\Recovery\Work\Wahj\Clints\Dr.seham\06- JUN\1.jpg","1254","1254","436930","Elegant premium styling, structured offers, and coherent clinical branding."
"08 - Beauty & Healthcare","8","2819","08 - 2819 - 3.jpg","D:\Recovery\Work\Wahj\Clints\Dr.seham\06- JUN\3.jpg","1199","1312","403473","Elegant premium styling, structured offers, and coherent clinical branding."
"09 - Home & AC Services","1","1230","01 - 1230 - Post 1.png","D:\Recovery\Work\Privet\الفهد\2025\تأسيس\Post 1.png","1024","1024","1581643","Strong service advertising, visual storytelling, and direct commercial messaging."
"09 - Home & AC Services","2","1231","02 - 1231 - Post 2.png","D:\Recovery\Work\Privet\الفهد\2025\تأسيس\Post 2.png","1024","1024","1799940","Strong service advertising, visual storytelling, and direct commercial messaging."
"09 - Home & AC Services","3","1235","03 - 1235 - Post 6.png","D:\Recovery\Work\Privet\الفهد\2025\تأسيس\Post 6.png","1024","1024","1662634","Strong service advertising, visual storytelling, and direct commercial messaging."
"09 - Home & AC Services","4","1237","04 - 1237 - Post 8.png","D:\Recovery\Work\Privet\الفهد\2025\تأسيس\Post 8.png","1024","1024","1337306","Strong service advertising, visual storytelling, and direct commercial messaging."
"09 - Home & AC Services","5","1245","05 - 1245 - بعد - قبل.png","D:\Recovery\Work\Privet\الفهد\2025\حمله صيانه جديده\بعد - قبل.png","1024","1024","1437451","Strong service advertising, visual storytelling, and direct commercial messaging."
"09 - Home & AC Services","6","1251","06 - 1251 - Post 1@1x_1.jpg","D:\Recovery\Work\Privet\الفهد\2025\Fresh Campaign\Post 1@1x_1.jpg","2024","2024","981618","Strong service advertising, visual storytelling, and direct commercial messaging."
"09 - Home & AC Services","7","1262","07 - 1262 - Post 1.png","D:\Recovery\Work\Privet\الفهد\2026\04- April\Post 1.png","1024","1024","1761063","Strong service advertising, visual storytelling, and direct commercial messaging."
"09 - Home & AC Services","8","1274","08 - 1274 - First.jpg","D:\Recovery\Work\Privet\الفهد\2026\05 - May\Campaign Eid\First.jpg","2048","2048","974950","Strong service advertising, visual storytelling, and direct commercial messaging."
"10 - Retail & E-commerce","1","689","01 - 0689 - 13.jpg","D:\Recovery\Work\Old\Older\Emirates\Frames December\13.jpg","2000","2000","410184","Clean retail layouts, bold typography, and product-focused sales presentation."
"10 - Retail & E-commerce","2","709","02 - 0709 - Apple-Watch-ultra-2.jpg","D:\Recovery\Work\Old\Older\Emirates\Frames December\New 2025\Apple-Watch-ultra-2.jpg","2000","2000","564189","Clean retail layouts, bold typography, and product-focused sales presentation."
"10 - Retail & E-commerce","3","717","03 - 0717 - 16 P.jpg","D:\Recovery\Work\Old\Older\Emirates\Posts\16 P.jpg","2000","2000","439444","Clean retail layouts, bold typography, and product-focused sales presentation."
"10 - Retail & E-commerce","4","719","04 - 0719 - 16 PM.jpg","D:\Recovery\Work\Old\Older\Emirates\Posts\16 PM.jpg","2000","2000","459578","Clean retail layouts, bold typography, and product-focused sales presentation."
"10 - Retail & E-commerce","5","731","05 - 0731 - 10.jpg","D:\Recovery\Work\Old\Older\Mac & I\Mac & I Post\10.jpg","2000","2000","403219","Clean retail layouts, bold typography, and product-focused sales presentation."
"10 - Retail & E-commerce","6","741","06 - 0741 - 10.png","D:\Recovery\Work\Old\Older\Mac & I\Mac Frames\10.png","1080","1080","319062","Clean retail layouts, bold typography, and product-focused sales presentation."
"10 - Retail & E-commerce","7","746","07 - 0746 - 4.jpg","D:\Recovery\Work\Old\Older\Mac & I\Mac Frames\4.jpg","2000","2000","505746","Clean retail layouts, bold typography, and product-focused sales presentation."
"10 - Retail & E-commerce","8","749","08 - 0749 - 7.jpg","D:\Recovery\Work\Old\Older\Mac & I\Mac Frames\7.jpg","2000","2000","763315","Clean retail layouts, bold typography, and product-focused sales presentation."
